,RAGAS,DeepEval,G-Eval,RAGChecker,TRACe,ARES_answer,UniEval,QAFactEval_factual,FaithJudge,LRP4RAG_relevance,MetaRAG_factoid,KG-RAG_kg,GaRAGe_relevance_aware_factuality,HSAD_spectral,SIRG_attribution
RAGAS,1.0,0.92,0.94,0.085,0.815,0.82,0.77,0.17,0.95,0.785,0.465,0.745,0.85,0.745,0.615
DeepEval,0.92,1.0,0.9,0.095,0.845,0.87,0.82,0.17,0.91,0.825,0.485,0.775,0.85,0.785,0.655
G-Eval,0.94,0.9,1.0,0.055,0.785,0.81,0.74,0.14,0.96,0.785,0.455,0.725,0.87,0.715,0.595
RAGChecker,0.085,0.095,0.055,1.0,0.19,0.155,0.255,0.895,0.055,0.2,0.58,0.28,0.105,0.29,0.38
TRACe,0.815,0.845,0.785,0.19,1.0,0.945,0.905,0.215,0.805,0.88,0.56,0.84,0.815,0.88,0.7
ARES_answer,0.82,0.87,0.81,0.155,0.945,1.0,0.9,0.19,0.82,0.885,0.545,0.835,0.84,0.855,0.685
UniEval,0.77,0.82,0.74,0.255,0.905,0.9,1.0,0.27,0.75,0.865,0.585,0.815,0.76,0.915,0.715
QAFactEval_factual,0.17,0.17,0.14,0.895,0.215,0.19,0.27,1.0,0.15,0.215,0.495,0.295,0.17,0.285,0.375
FaithJudge,0.95,0.91,0.96,0.055,0.805,0.82,0.75,0.15,1.0,0.785,0.445,0.725,0.87,0.715,0.605
LRP4RAG_relevance,0.785,0.825,0.785,0.2,0.88,0.885,0.865,0.215,0.785,1.0,0.55,0.81,0.805,0.84,0.74
MetaRAG_factoid,0.465,0.485,0.455,0.58,0.56,0.545,0.585,0.495,0.445,0.55,1.0,0.68,0.485,0.59,0.65
KG-RAG_kg,0.745,0.775,0.725,0.28,0.84,0.835,0.815,0.295,0.725,0.81,0.68,1.0,0.745,0.81,0.74
GaRAGe_relevance_aware_factuality,0.85,0.85,0.87,0.105,0.815,0.84,0.76,0.17,0.87,0.805,0.485,0.745,1.0,0.735,0.625
HSAD_spectral,0.745,0.785,0.715,0.29,0.88,0.855,0.915,0.285,0.715,0.84,0.59,0.81,0.735,1.0,0.73
SIRG_attribution,0.615,0.655,0.595,0.38,0.7,0.685,0.715,0.375,0.605,0.74,0.65,0.74,0.625,0.73,1.0
