framework_1,framework_2,metric_1,metric_2,correlation,ci_lower,ci_upper,std_error
RAGAS,DeepEval,RAGAS_faithfulness,DeepEval_faithfulness,0.560504050905287,0.38808363227044657,0.7038266750196681,0.0797372467165423
RAGAS,G-Eval,RAGAS_faithfulness,G-Eval_consistency,0.558679641602213,0.34131078527096154,0.7109428326509036,0.09263713484974104
RAGAS,RAGChecker,RAGAS_faithfulness,RAGChecker_faithfulness,-0.041730808496898024,-0.22033031367745476,0.08851901557489354,0.07887012697512881
RAGAS,ARES,RAGAS_faithfulness,ARES_answer_faithfulness,0.31883818187595847,0.20978033992583556,0.44458000437909945,0.06119566280459534
RAGAS,UniEval,RAGAS_faithfulness,UniEval_consistency,0.31879969614529763,0.2029476314598416,0.45107992097844063,0.06381008291001251
RAGAS,QAFactEval,RAGAS_faithfulness,QAFactEval_factual_consistency,-0.039565066454875564,-0.1950295244185105,0.10602114020439347,0.07951568140655677
RAGAS,FaithJudge,RAGAS_faithfulness,FaithJudge_faithfulness,0.6874701577242622,0.5236823072587434,0.7965105743679343,0.07200805351295174
RAGAS,LRP4RAG,RAGAS_faithfulness,LRP4RAG_relevance_consistency,0.32629324349359057,0.2037100300205792,0.46156294330272996,0.06695891309810972
RAGAS,MetaRAG,RAGAS_faithfulness,MetaRAG_factoid_consistency,0.23636170383554966,0.09110435464543798,0.39697877756625993,0.07769497160784133
RAGAS,KG-RAG,RAGAS_faithfulness,KG-RAG_kg_faithfulness,0.3459133790396604,0.21888639395186243,0.49316148395343584,0.07027845101734502
RAGAS,HSAD,RAGAS_faithfulness,HSAD_spectral_consistency,0.38478877942031686,0.27045808832758267,0.4957820422102943,0.05576684719577448
RAGAS,SIRG,RAGAS_faithfulness,SIRG_attribution_consistency,0.32386176265050565,0.2160701633921644,0.43780184967817243,0.05679467581921903
DeepEval,G-Eval,DeepEval_faithfulness,G-Eval_consistency,0.37852278730890493,0.14260460842761494,0.5616290018950932,0.10553859151110577
DeepEval,RAGChecker,DeepEval_faithfulness,RAGChecker_faithfulness,-0.007351200093621318,-0.15214765076122072,0.10236493120877833,0.0660540686129137
DeepEval,ARES,DeepEval_faithfulness,ARES_answer_faithfulness,0.5348237328297467,0.4016403112492469,0.6584102680213774,0.06629600789459907
DeepEval,UniEval,DeepEval_faithfulness,UniEval_consistency,0.5194029293076772,0.395618891072916,0.6285520753818247,0.059355910283872465
DeepEval,QAFactEval,DeepEval_faithfulness,QAFactEval_factual_consistency,-0.0328267578953989,-0.17019492895732488,0.11972332161106979,0.073421423548736
DeepEval,FaithJudge,DeepEval_faithfulness,FaithJudge_faithfulness,0.4969111136742387,0.2524394082828956,0.6587974072867394,0.10043154796614241
DeepEval,LRP4RAG,DeepEval_faithfulness,LRP4RAG_relevance_consistency,0.4308777175650057,0.31608677832859583,0.5557134093030679,0.0619337114872531
DeepEval,MetaRAG,DeepEval_faithfulness,MetaRAG_factoid_consistency,0.2832928384206952,0.1582660048719354,0.4141832133826847,0.06544208233889656
DeepEval,KG-RAG,DeepEval_faithfulness,KG-RAG_kg_faithfulness,0.4492468567858096,0.3170117354375534,0.5747827154494295,0.06387980708841125
DeepEval,HSAD,DeepEval_faithfulness,HSAD_spectral_consistency,0.5137654005488455,0.3997102468578357,0.6127717367878742,0.053940365614966915
DeepEval,SIRG,DeepEval_faithfulness,SIRG_attribution_consistency,0.46273313723932635,0.3390240292971611,0.5799599618494742,0.059834949632157075
G-Eval,RAGChecker,G-Eval_consistency,RAGChecker_faithfulness,0.033753023870820735,-0.10660916785749941,0.13686826328036697,0.06211445376158469
G-Eval,ARES,G-Eval_consistency,ARES_answer_faithfulness,-0.014567688189353816,-0.10180735510711672,0.09133405055405633,0.050802168641305115
G-Eval,UniEval,G-Eval_consistency,UniEval_consistency,0.019905441321462245,-0.09050925182983603,0.1417726924891407,0.061395238257282526
G-Eval,QAFactEval,G-Eval_consistency,QAFactEval_factual_consistency,-0.0030304585766243873,-0.15187389342248678,0.14256698277964006,0.07614659036804235
G-Eval,FaithJudge,G-Eval_consistency,FaithJudge_faithfulness,0.6240470017553132,0.37684744476950294,0.7861055679606374,0.10641741128583916
G-Eval,LRP4RAG,G-Eval_consistency,LRP4RAG_relevance_consistency,0.05522193281442158,-0.049957068425213184,0.18196986788460076,0.06090240394051875
G-Eval,MetaRAG,G-Eval_consistency,MetaRAG_factoid_consistency,0.09908792401088984,-0.06260774353074161,0.25350783193383825,0.07975035668378704
G-Eval,KG-RAG,G-Eval_consistency,KG-RAG_kg_faithfulness,0.11352800957772646,-0.037546091986300115,0.2672093461949111,0.07802142964896815
G-Eval,HSAD,G-Eval_consistency,HSAD_spectral_consistency,0.0679087760532257,-0.046985521769401954,0.1852282344494883,0.06005028995132221
G-Eval,SIRG,G-Eval_consistency,SIRG_attribution_consistency,0.09232665247239785,-0.02226177735887688,0.23426743920837187,0.06358755866732585
RAGChecker,ARES,RAGChecker_faithfulness,ARES_answer_faithfulness,-0.021843695964002496,-0.1951872458424424,0.09186101809861488,0.07404412806759271
RAGChecker,UniEval,RAGChecker_faithfulness,UniEval_consistency,-0.0013714689458654786,-0.19822284222390651,0.1401245564683568,0.08836474101775842
RAGChecker,QAFactEval,RAGChecker_faithfulness,QAFactEval_factual_consistency,0.18642386109131387,-0.1402480349606029,0.44306042241570487,0.15885961141688112
RAGChecker,FaithJudge,RAGChecker_faithfulness,FaithJudge_faithfulness,-0.03431953596963691,-0.19510839415289336,0.08421010223883395,0.07417999714660806
RAGChecker,LRP4RAG,RAGChecker_faithfulness,LRP4RAG_relevance_consistency,0.04926398207817003,-0.09456334458385905,0.16086625837506785,0.0643617776151971
RAGChecker,MetaRAG,RAGChecker_faithfulness,MetaRAG_factoid_consistency,0.048816257113275106,-0.16674005490209365,0.20721139879740935,0.09291403445478895
RAGChecker,KG-RAG,RAGChecker_faithfulness,KG-RAG_kg_faithfulness,0.03501989908138482,-0.14829152987965374,0.1679527275039893,0.08070362168374441
RAGChecker,HSAD,RAGChecker_faithfulness,HSAD_spectral_consistency,-0.050745959836988756,-0.16809024088600855,0.06379866081682786,0.05819850782226478
RAGChecker,SIRG,RAGChecker_faithfulness,SIRG_attribution_consistency,-0.12731359713419055,-0.2463140458663087,0.03196584644091122,0.07237192597983087
ARES,UniEval,ARES_answer_faithfulness,UniEval_consistency,0.8561943517135753,0.8110777294654365,0.8926690751723549,0.02086636684044664
ARES,QAFactEval,ARES_answer_faithfulness,QAFactEval_factual_consistency,-0.1806538914516578,-0.32493475219112644,-0.026221708446319353,0.07582238676339163
ARES,FaithJudge,ARES_answer_faithfulness,FaithJudge_faithfulness,0.11006934379516331,0.018452365851621223,0.2284406865447531,0.05332008775084784
ARES,LRP4RAG,ARES_answer_faithfulness,LRP4RAG_relevance_consistency,0.7791762381578055,0.7157881686281264,0.8368867879869082,0.03249717948775434
ARES,MetaRAG,ARES_answer_faithfulness,MetaRAG_factoid_consistency,0.3598400897491144,0.24196002169283984,0.4636552553714835,0.05795372055296861
ARES,KG-RAG,ARES_answer_faithfulness,KG-RAG_kg_faithfulness,0.6909956352890305,0.6080609935637273,0.7660105511848294,0.03991609887022967
ARES,HSAD,ARES_answer_faithfulness,HSAD_spectral_consistency,0.8739195083498472,0.8460003372831749,0.9002375411036585,0.014027649162153577
ARES,SIRG,ARES_answer_faithfulness,SIRG_attribution_consistency,0.5552483071455591,0.42468165836328414,0.6600910952322954,0.06193212166892929
UniEval,QAFactEval,UniEval_consistency,QAFactEval_factual_consistency,-0.14951663099224768,-0.3027759461500429,0.011245395018780932,0.08162613575895016
UniEval,FaithJudge,UniEval_consistency,FaithJudge_faithfulness,0.12862232634087817,0.0073879610655189715,0.2560386911366669,0.06240687092881637
UniEval,LRP4RAG,UniEval_consistency,LRP4RAG_relevance_consistency,0.7240205290670527,0.6432907721640545,0.7934242392242766,0.03902325800376493
UniEval,MetaRAG,UniEval_consistency,MetaRAG_factoid_consistency,0.3617643313096445,0.23812358023345537,0.4776824430784064,0.06117206131400237
UniEval,KG-RAG,UniEval_consistency,KG-RAG_kg_faithfulness,0.670049531316582,0.5904487763994803,0.7422246024132725,0.03958899173757302
UniEval,HSAD,UniEval_consistency,HSAD_spectral_consistency,0.8462513035116106,0.8009428644032313,0.88188724628141,0.021060084843680233
UniEval,SIRG,UniEval_consistency,SIRG_attribution_consistency,0.5226140181631511,0.39719408124447975,0.6228597457840106,0.057103892980835326
QAFactEval,FaithJudge,QAFactEval_factual_consistency,FaithJudge_faithfulness,-0.05677214053998913,-0.2112035115553173,0.07726280545586603,0.07303399005373845
QAFactEval,LRP4RAG,QAFactEval_factual_consistency,LRP4RAG_relevance_consistency,-0.2765247810617753,-0.4248605277892653,-0.11312448161599309,0.07899363020435585
QAFactEval,MetaRAG,QAFactEval_factual_consistency,MetaRAG_factoid_consistency,-0.2277424345299995,-0.3690625649906125,-0.06584437446698467,0.07527692732084582
QAFactEval,KG-RAG,QAFactEval_factual_consistency,KG-RAG_kg_faithfulness,-0.1846777550682648,-0.3247243527312042,-0.02413117648843375,0.07894563668251274
QAFactEval,HSAD,QAFactEval_factual_consistency,HSAD_spectral_consistency,-0.27540497403703207,-0.39107814675857683,-0.13861098036836947,0.06416097987052426
QAFactEval,SIRG,QAFactEval_factual_consistency,SIRG_attribution_consistency,-0.2745035827171994,-0.4012788405534614,-0.13635751242893077,0.06603964294377393
FaithJudge,LRP4RAG,FaithJudge_faithfulness,LRP4RAG_relevance_consistency,0.17246112890897347,0.06177497335991139,0.29176130015273366,0.061481378031602016
FaithJudge,MetaRAG,FaithJudge_faithfulness,MetaRAG_factoid_consistency,0.1021301887577738,-0.05734855766172181,0.27589486898537857,0.0827589819063575
FaithJudge,KG-RAG,FaithJudge_faithfulness,KG-RAG_kg_faithfulness,0.1462511058537633,0.021348235178106734,0.27414080520975004,0.06425577431656526
FaithJudge,HSAD,FaithJudge_faithfulness,HSAD_spectral_consistency,0.1772930193681124,0.07034697355820058,0.2894894546132765,0.057185879339377466
FaithJudge,SIRG,FaithJudge_faithfulness,SIRG_attribution_consistency,0.21472412794211376,0.1030518092429626,0.33049340294558316,0.0597835688594352
LRP4RAG,MetaRAG,LRP4RAG_relevance_consistency,MetaRAG_factoid_consistency,0.45667880964540464,0.3321840050903241,0.5697288244303754,0.06049092979545181
LRP4RAG,KG-RAG,LRP4RAG_relevance_consistency,KG-RAG_kg_faithfulness,0.7653656517678871,0.6865786848274702,0.8327347910856067,0.03703657139968503
LRP4RAG,HSAD,LRP4RAG_relevance_consistency,HSAD_spectral_consistency,0.7970791362137706,0.7326096312846034,0.8517696877681424,0.030773669559011455
LRP4RAG,SIRG,LRP4RAG_relevance_consistency,SIRG_attribution_consistency,0.7479158681643142,0.617170761214946,0.8435649578475076,0.05821305367982383
MetaRAG,KG-RAG,MetaRAG_factoid_consistency,KG-RAG_kg_faithfulness,0.7145429630487599,0.6477865390462346,0.7751097896240841,0.03306881478138177
MetaRAG,HSAD,MetaRAG_factoid_consistency,HSAD_spectral_consistency,0.404490783468267,0.2832773222841448,0.5219393857725317,0.0631497354556028
MetaRAG,SIRG,MetaRAG_factoid_consistency,SIRG_attribution_consistency,0.4098859937192906,0.27264015878538517,0.5267220602567894,0.06450601916219442
KG-RAG,HSAD,KG-RAG_kg_faithfulness,HSAD_spectral_consistency,0.7117845202620687,0.6313544767920569,0.7845349040055547,0.03874713594640659
KG-RAG,SIRG,KG-RAG_kg_faithfulness,SIRG_attribution_consistency,0.5853621177314798,0.45442779291322405,0.6908230806049612,0.05961379535771841
HSAD,SIRG,HSAD_spectral_consistency,SIRG_attribution_consistency,0.642740097598519,0.5386232623471573,0.7228622132700747,0.04817290071168573
