,RAGAS,DeepEval,G-Eval,RAGChecker,TRACe,ARES_answer,UniEval,QAFactEval_factual,FaithJudge,LRP4RAG_relevance,MetaRAG_factoid,KG-RAG_kg,GaRAGe_relevance_aware_factuality,HSAD_spectral,SIRG_attribution
RAGAS,1.0,0.48586118251928034,0.508196721311475,0.0008735531775497234,0.21410365335598938,0.12621359223300932,0.2068965517241378,-0.002899951667472158,0.5901639344262292,0.11812961443806418,0.04973357015985795,0.18006430868167186,0.12993039443155383,0.20162805259862218,0.045612295488349226
DeepEval,0.48586118251928034,1.0,0.23664122137404664,0.0009934871398609554,0.3587091435664046,0.3896713615023476,0.3898305084745762,-0.012442059038789897,0.3129770992366421,0.29971988795518195,0.08281389136242213,0.2868462757527737,0.16759156492785743,0.3358047574915048,0.14961794429381337
G-Eval,0.508196721311475,0.23664122137404664,1.0,0.0005288207297725635,0.0069284064665134735,-0.02702702702702706,0.05454545454545497,-0.010575793184488846,0.5789473684210521,0.04656319290465613,0.03964757709251105,0.07563025210084022,0.12751677852349066,0.07014681892332811,-0.02143757881462787
RAGChecker,0.0008735531775497234,0.0009934871398609554,0.0005288207297725635,1.0,0.0022787460737820567,0.0017720023626697856,0.003344481605351173,0.07813871817383597,0.0005288207297725635,0.0024315730407133396,0.013505578391074392,0.003804911795226607,-0.010044013091073233,0.003998036052465404,-0.010018734218457259
TRACe,0.21410365335598938,0.3587091435664046,0.0069284064665134735,0.0022787460737820567,1.0,0.8032200357781751,0.7226277372262775,-0.05270215904519247,0.09930715935334952,0.6101997726165341,0.19597989949748756,0.5533845080251221,0.27251278018088876,0.6708270470443013,0.2983276809729857
ARES_answer,0.12621359223300932,0.3896713615023476,-0.02702702702702706,0.0017720023626697856,0.8032200357781751,1.0,0.6923076923076924,-0.04786545924967663,0.02702702702702646,0.5986038394415357,0.17647058823529427,0.5182481751824817,0.29515418502202656,0.5851216022889841,0.24910607866507778
UniEval,0.2068965517241378,0.3898305084745762,0.05454545454545497,0.003344481605351173,0.7226277372262775,0.6923076923076924,1.0,-0.050359712230215785,0.09090909090909136,0.6115107913669064,0.227906976744186,0.5225806451612902,0.2131147540983608,0.7834394904458599,0.35593220338983045
QAFactEval_factual,-0.002899951667472158,-0.012442059038789897,-0.010575793184488846,0.07813871817383597,-0.05270215904519247,-0.04786545924967663,-0.050359712230215785,1.0,0.0011750881316098393,-0.06382978723404248,-0.14382785956964864,-0.04367135455218361,-0.03208157174832126,-0.07084019769357507,-0.059860946243852804
FaithJudge,0.5901639344262292,0.3129770992366421,0.5789473684210521,0.0005288207297725635,0.09930715935334952,0.02702702702702646,0.09090909090909136,0.0011750881316098393,1.0,0.04656319290465613,0.022026431718061693,0.07563025210084022,0.12751677852349066,0.07014681892332811,0.003783102143758024
LRP4RAG_relevance,0.11812961443806418,0.29971988795518195,0.04656319290465613,0.0024315730407133396,0.6101997726165341,0.5986038394415357,0.6115107913669064,-0.06382978723404248,0.04656319290465613,1.0,0.17544663307375183,0.47622329427980703,0.2560091568103779,0.5662193303510911,0.39513783878097003
MetaRAG_factoid,0.04973357015985795,0.08281389136242213,0.03964757709251105,0.013505578391074392,0.19597989949748756,0.17647058823529427,0.227906976744186,-0.14382785956964864,0.022026431718061693,0.17544663307375183,1.0,0.4004683840749416,0.07788719785138772,0.22968529826209483,0.3233446109231514
KG-RAG_kg,0.18006430868167186,0.2868462757527737,0.07563025210084022,0.003804911795226607,0.5533845080251221,0.5182481751824817,0.5225806451612902,-0.04367135455218361,0.07563025210084022,0.47622329427980703,0.4004683840749416,1.0,0.21417565485362097,0.528828270303782,0.4199665365309537
GaRAGe_relevance_aware_factuality,0.12993039443155383,0.16759156492785743,0.12751677852349066,-0.010044013091073233,0.27251278018088876,0.29515418502202656,0.2131147540983608,-0.03208157174832126,0.12751677852349066,0.2560091568103779,0.07788719785138772,0.21417565485362097,1.0,0.2025278362925068,0.08603460882281257
HSAD_spectral,0.20162805259862218,0.3358047574915048,0.07014681892332811,0.003998036052465404,0.6708270470443013,0.5851216022889841,0.7834394904458599,-0.07084019769357507,0.07014681892332811,0.5662193303510911,0.22968529826209483,0.528828270303782,0.2025278362925068,1.0,0.400732438131173
SIRG_attribution,0.045612295488349226,0.14961794429381337,-0.02143757881462787,-0.010018734218457259,0.2983276809729857,0.24910607866507778,0.35593220338983045,-0.059860946243852804,0.003783102143758024,0.39513783878097003,0.3233446109231514,0.4199665365309537,0.08603460882281257,0.400732438131173,1.0
