domain,metric,mean,std,median,min,max,n
General Knowledge,RAGAS_faithfulness,0.9415422885572139,0.19191076100091195,1.0,0.0,1.0,67
General Knowledge,RAGAS_answer_relevancy,0.8488805970149254,0.30036066816655,1.0,0.0,1.0,67
General Knowledge,RAGAS_context_precision,0.590724946695096,0.2700346072991819,0.5,0.0,1.0,67
General Knowledge,RAGAS_context_recall,0.8980099502487562,0.257799585263667,1.0,0.0,1.0,67
General Knowledge,DeepEval_faithfulness,0.9365671641791045,0.20157709017290884,1.0,0.0,1.0,67
General Knowledge,DeepEval_answer_relevancy,0.8791044776119403,0.21640122208305837,1.0,0.0,1.0,67
General Knowledge,DeepEval_contextual_precision,0.5864690831556503,0.24897108216883432,0.5,0.0,1.0,67
General Knowledge,DeepEval_contextual_recall,0.8306538734896943,0.2705552116624107,1.0,0.0,1.0,67
General Knowledge,DeepEval_hallucination,0.08208955223880597,0.24894243369347624,0.0,0.0,1.0,67
General Knowledge,G-Eval_coherence,0.8022388059701493,0.2871533266684099,1.0,0.0,1.0,67
General Knowledge,G-Eval_consistency,0.9373134328358208,0.1944968807847745,1.0,0.0,1.0,67
General Knowledge,G-Eval_fluency,0.8992537313432836,0.2089824802924864,1.0,0.0,1.0,67
General Knowledge,G-Eval_relevance,0.9171641791044777,0.20680693653853172,1.0,0.0,1.0,67
General Knowledge,RAGChecker_claim_recall,0.7443459370176805,0.13150318827763582,0.7574472721874637,0.0,0.975279908314499,67
General Knowledge,RAGChecker_context_utilization,0.6111765205567612,0.33473633377017775,0.438375550703838,0.0,1.0,67
General Knowledge,RAGChecker_faithfulness,0.062161413687893206,0.13519654406380952,0.0147439825309259,0.0,1.0,67
General Knowledge,RAGChecker_noise_sensitivity,0.9234265213730068,0.13946954022095995,0.9787488115084484,0.0,1.0,67
General Knowledge,RAGChecker_hallucination,0.9469538937582945,0.12892731111973255,0.9951155136967916,0.0,1.0,67
General Knowledge,TRACe_utilization,0.8122643251436411,0.17172172417923098,0.8661600685015106,0.0385385881799525,1.0,67
General Knowledge,TRACe_relevance,0.2544147902508687,0.2290387587140745,0.2197361840919416,0.0,1.0,67
General Knowledge,TRACe_adherence,0.7697788757377902,0.15597525853604033,0.7930088728966819,0.0,0.9785395702942208,67
General Knowledge,TRACe_completeness,0.4431993574459603,0.3713119046825406,0.1868279925803656,0.0,1.0,67
General Knowledge,ARES_context_relevance,0.4202448996425007,0.28521456854764743,0.4427433230786204,0.0342753144921257,0.9164408271251918,67
General Knowledge,ARES_answer_faithfulness,0.7996113499621978,0.14862745823339926,0.8418908600699182,0.0,1.0,67
General Knowledge,ARES_answer_relevance,0.5948957703851588,0.21964527668391268,0.6502519700742382,0.0,0.9719096881004344,67
General Knowledge,BERTScore_precision,0.16137696521633163,0.13772489354417658,0.125507957474466,0.0,0.6978971255499081,67
General Knowledge,BERTScore_recall,0.17210152014699226,0.14849657348712172,0.1282411710162435,0.0,0.7573812655110107,67
General Knowledge,BERTScore_f1,0.1775458441383981,0.1420656040129241,0.1476030644282719,0.0,0.7445697111429066,67
General Knowledge,UniEval_coherence,0.6715117376994588,0.26091667830349896,0.7967782838294646,0.038231425719239,1.0,67
General Knowledge,UniEval_consistency,0.6715237237079844,0.13309435079247564,0.6905778974511514,0.1229541940791402,0.9237280810251702,67
General Knowledge,UniEval_fluency,0.8418373094346239,0.21778446465008006,0.9238698147768764,0.0,1.0,67
General Knowledge,UniEval_relevance,0.60259641712968,0.2257674947834994,0.617669456089178,0.0,1.0,67
General Knowledge,UniEval_overall,0.6042100764379138,0.2100338612552467,0.6150029437653416,0.1784238699696757,1.0,67
General Knowledge,QAFactEval_factual_consistency,0.23229078642459386,0.17200731563101734,0.2132839326375903,0.0,1.0,67
General Knowledge,FaithJudge_faithfulness,0.9494328358208955,0.182592958797546,1.0,0.0,1.0,67
General Knowledge,FaithJudge_hallucination_rate,0.04643283582089552,0.18204779790938,0.0,0.0,1.0,67
General Knowledge,FaithJudge_grounding_score,0.9494328358208955,0.182592958797546,1.0,0.0,1.0,67
General Knowledge,FaithJudge_subtle_error_detection,0.020437810945273627,0.09523980382262696,0.0,0.0,0.6666666666666666,67
General Knowledge,ReDeEP_external_context_score,0.339860430843022,0.13371113044203406,0.3714926228333465,0.0,1.0,67
General Knowledge,ReDeEP_parametric_knowledge_score,0.21665220113299802,0.17050843082130546,0.1809798948896602,0.0,0.9400639638610476,67
General Knowledge,ReDeEP_redeep_score,0.5331262847690488,0.126164687878158,0.540395956998686,0.0569680232711102,1.0,67
General Knowledge,ReDeEP_copying_head_signal,0.5141654417965388,0.30603980226197636,0.5343070447838415,0.0051774127800042,1.0,67
General Knowledge,LettuceDetect_token_hallucination,0.16760501973755768,0.14045599872746894,0.1379214109605328,0.0,1.0,67
General Knowledge,LettuceDetect_span_precision,0.49676919581352996,0.296258797618683,0.4199879991201752,0.0,1.0,67
General Knowledge,LettuceDetect_example_f1,0.7262147789415119,0.17197599479756875,0.7835938747596761,0.2419249106887958,1.0,67
General Knowledge,LettuceDetect_confidence,0.5873930474171374,0.21133912533463062,0.6224934853475167,0.1095553424245439,0.9533616368238044,67
General Knowledge,LRP4RAG_context_relevance,0.5144747846846673,0.2177371300601933,0.5429494449395502,0.0,0.9193726184855416,67
General Knowledge,LRP4RAG_response_relevance,0.428387773390079,0.19455290243890325,0.4189854733747945,0.0645170879284188,0.9111644242068708,67
General Knowledge,LRP4RAG_relevance_consistency,0.8387862300819239,0.18036844261527576,0.8822728752268432,0.0,1.0,67
General Knowledge,LRP4RAG_lrp_classifier_score,0.4734356253142388,0.19702986072646778,0.50093490731524,0.0,0.8681712581746232,67
General Knowledge,LUMINA_context_utilization,0.7665977485939781,0.18293968459633214,0.8049578147975566,0.0,1.0,67
General Knowledge,LUMINA_knowledge_utilization,0.12595428452248364,0.13730883615939884,0.0992041129520434,0.0051413472829752,0.8644908034857867,67
General Knowledge,LUMINA_lumina_score,0.7334949787232256,0.1378146230580197,0.7604147960060785,0.0,0.9111336807810824,67
General Knowledge,LUMINA_signal_confidence,0.5187701296393784,0.17374636561867896,0.5177956081617411,0.0,0.9750769353506972,67
General Knowledge,HALT-RAG_nli_ensemble_score,0.1461522642724133,0.22566506652850132,0.0137025226402355,0.0,1.0,67
General Knowledge,HALT-RAG_lexical_overlap,0.7340843879678361,0.14040883469728563,0.7647785621177909,0.0,0.9296907257310808,67
General Knowledge,HALT-RAG_calibrated_confidence,0.4808204388744228,0.12919193743556454,0.4648139416713578,0.2365855320091909,1.0,67
