id,domain,subset,vote_cluster_1_LRP4RAG,vote_cluster_3_QAFactEval,vote_cluster_2_FaithJudge,verdict
hotpotqa_327,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_57,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_12,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_379,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_140,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_125,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_114,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_71,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_377,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_52,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_346,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_279,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_44,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_302,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_216,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_16,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_15,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_47,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_111,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_119,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_258,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_308,General Knowledge,hotpotqa,1,0,1,contested
hotpotqa_13,General Knowledge,hotpotqa,1,1,1,faithful
msmarco_287,General Knowledge,msmarco,1,0,1,contested
msmarco_101,General Knowledge,msmarco,1,0,1,contested
msmarco_366,General Knowledge,msmarco,1,0,1,contested
msmarco_332,General Knowledge,msmarco,1,0,1,contested
msmarco_359,General Knowledge,msmarco,1,0,1,contested
msmarco_279,General Knowledge,msmarco,1,0,1,contested
msmarco_214,General Knowledge,msmarco,1,0,1,contested
msmarco_112,General Knowledge,msmarco,1,0,1,contested
msmarco_229,General Knowledge,msmarco,1,0,1,contested
msmarco_301,General Knowledge,msmarco,1,0,1,contested
msmarco_142,General Knowledge,msmarco,1,0,1,contested
msmarco_414,General Knowledge,msmarco,1,0,1,contested
msmarco_3,General Knowledge,msmarco,1,0,1,contested
msmarco_388,General Knowledge,msmarco,1,0,1,contested
msmarco_412,General Knowledge,msmarco,1,0,1,contested
msmarco_81,General Knowledge,msmarco,1,0,1,contested
msmarco_357,General Knowledge,msmarco,1,0,1,contested
msmarco_216,General Knowledge,msmarco,1,0,1,contested
msmarco_174,General Knowledge,msmarco,1,0,1,contested
msmarco_79,General Knowledge,msmarco,1,1,0,contested
msmarco_110,General Knowledge,msmarco,1,0,1,contested
msmarco_390,General Knowledge,msmarco,1,0,1,contested
hagrid_689,General Knowledge,hagrid,1,0,1,contested
hagrid_209,General Knowledge,hagrid,1,0,1,contested
hagrid_189,General Knowledge,hagrid,1,0,1,contested
hagrid_778,General Knowledge,hagrid,1,0,1,contested
hagrid_198,General Knowledge,hagrid,1,0,1,contested
hagrid_735,General Knowledge,hagrid,1,0,1,contested
hagrid_704,General Knowledge,hagrid,1,0,1,contested
hagrid_1236,General Knowledge,hagrid,1,0,1,contested
hagrid_541,General Knowledge,hagrid,1,0,1,contested
hagrid_88,General Knowledge,hagrid,0,0,0,unfaithful
hagrid_940,General Knowledge,hagrid,1,0,1,contested
