framework_1,framework_2,metric_1,metric_2,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p
ARES,DeepEval,answer_relevance,answer_relevancy,0.12690916213361778,0.07333108128181313,0.2044051271953803,0.003692255503316815,0.1588063422796314,0.003598759362222684
ARES,G-Eval,answer_relevance,relevance,0.019369538456784578,0.7854411790499771,0.040454024808001345,0.5695236306151952,0.03238473703497983,0.5680851711626363
ARES,LRP4RAG,context_relevance,context_relevance,-0.26920878607968224,0.00011585678105161116,-0.2314722868071702,0.0009741132737405013,-0.15276381909547737,0.001315931042542269
ARES,RAGAS,answer_relevance,answer_relevancy,0.07738046250886937,0.2761099866141379,0.09568645042460089,0.1777151680758528,0.0764620155087019,0.17431128436899868
ARES,TRACe,answer_relevance,relevance,0.020974678290600905,0.7681467341146616,0.032458375040715096,0.648193121361948,0.01743819045934057,0.7152377206281597
ARES,UniEval,answer_relevance,relevance,0.4367040655710042,1.0148143801495548e-10,0.3978864471611791,5.398959186216059e-09,0.2715577889447236,1.125715677002101e-08
BERTScore,DeepEval,precision,contextual_precision,0.2508611277626419,0.0003397489169916225,0.3384984514614643,9.458251365113283e-07,0.23274960175806483,2.930012281623885e-06
BERTScore,DeepEval,recall,contextual_recall,0.10524461015253105,0.13802754180585108,0.1617960337250944,0.022085087882104587,0.11917953298033933,0.02463582950656099
BERTScore,RAGAS,precision,context_precision,0.1672205946008108,0.017946393388152248,0.2550077035835437,0.0002682425196312504,0.1775371521868148,0.00038859234400736046
BERTScore,RAGAS,recall,context_recall,-0.00736024170636705,0.9176149587998315,0.09233017208946183,0.19348421761562998,0.07320466756346429,0.18384965402065634
BERTScore,RAGChecker,recall,claim_recall,-0.03893419994942294,0.5841251961419499,-0.024961747347589873,0.7256975836139827,-0.013781315375273889,0.772152101716026
DeepEval,FaithJudge,faithfulness,faithfulness,0.4969111136742387,7.204824280216638e-14,0.3528186069065929,2.9900073466910365e-07,0.30189756519079064,3.591707091900533e-07
DeepEval,G-Eval,faithfulness,consistency,0.37852278730890493,3.2651504432286786e-08,0.33162248730812716,1.611456939269564e-06,0.30228480036804606,2.602699901964821e-06
DeepEval,G-Eval,answer_relevancy,relevance,0.7535746094919387,6.304580974789041e-38,0.5257390785207072,1.3093046660295788e-15,0.4932417211453998,3.624882464656666e-14
DeepEval,QAFactEval,faithfulness,factual_consistency,-0.0328267578953989,0.6444722129568592,-0.03796469762111834,0.5935290084440374,-0.029648546486722858,0.5866754931891053
DeepEval,RAGAS,faithfulness,faithfulness,0.560504050905287,6.104068568223833e-18,0.5682850977245846,1.6812653659580303e-18,0.5125561524577099,1.1519529007929333e-16
DeepEval,RAGAS,answer_relevancy,answer_relevancy,0.8578555601754653,3.726572735142716e-59,0.6901282818129701,1.2671628335275328e-29,0.6556696518387677,3.399157192670174e-24
DeepEval,RAGAS,contextual_precision,context_precision,0.8299666744756728,4.3427892328160266e-52,0.8163723386188424,4.278051721228003e-49,0.7199108219627052,5.2316413611661736e-43
DeepEval,RAGAS,contextual_recall,context_recall,0.6249240955106593,4.615068392537643e-23,0.6008425618405056,5.179974652358246e-21,0.5407068670238008,1.2365046320775945e-18
DeepEval,RAGChecker,faithfulness,faithfulness,-0.007351200093621318,0.9177158068073699,-0.01294364191060972,0.8556525805676005,-0.011522549971327152,0.841660319842257
DeepEval,RAGChecker,contextual_recall,claim_recall,0.048580772027601145,0.49452280759096257,0.036788206883438215,0.6050319836208656,0.02795648555101294,0.5978070230390888
DeepEval,RAGChecker,hallucination,hallucination,-0.058081561126215604,0.4139634634278057,-0.11424457714486548,0.10722035138209089,-0.09783799228941226,0.10804708388823615
DeepEval,TRACe,faithfulness,adherence,0.4770864898973635,9.18591503267933e-13,0.4720403915474358,1.7113147251097775e-12,0.3672997341401716,1.3677350521651686e-11
DeepEval,TRACe,answer_relevancy,relevance,-0.16395605886264422,0.020347571230465152,-0.15701714496932645,0.02638955538984679,-0.1195197900745873,0.029269778627701148
DeepEval,UniEval,faithfulness,consistency,0.5194029293076772,3.264492439873563e-15,0.5151325481689562,5.9787973788024765e-15,0.4019546886717429,1.3699088020467623e-13
DeepEval,UniEval,answer_relevancy,relevance,0.13111539676187792,0.06422331541047237,0.09860270259196624,0.16480243283436802,0.07584780526788366,0.16437912286088274
FaithJudge,G-Eval,faithfulness,consistency,0.6240470017553132,5.520563590444526e-23,0.35330890884811633,2.8714772409177907e-07,0.3113375690666897,4.0280670803767705e-07
